labels,Area,Perim.,Circ.,Round,Solidity,Esferoide,dia,Diameter,n_diam
Esferas_BT474_dia_1_well_2_100X_2_blob_32,1148.2455,127.0346,0.8941,0.8491,0.9687,si,1,39.2011,9.761718527543945
Esferas_BT474_dia_1_well_2_100X_2_blob_33,470.7437,84.7902,0.8228,0.9491,0.9414,si,1,25.74880000000001,2.766320541791265
Esferas_BT474_dia_1_well_2_100X_2_blob_34,902.2588,112.9531,0.8887,0.853,0.9638,si,1,34.2577,6.51487557110425
Esferas_BT474_dia_1_well_2_100X_2_blob_35,535.8171,87.0414,0.8887,0.934,0.9505,si,1,26.6708,3.0742533005113466
Esferas_BT474_dia_1_well_2_100X_2_blob_36,1124.7083,127.5974,0.8681,0.7906,0.9646,si,1,38.37375,9.156600056800654
Esferas_BT474_dia_1_well_2_100X_2_blob_37,593.9678,92.4761,0.8728,0.9039,0.9569,si,1,27.82235,3.489899726982665
Esferas_BT474_dia_1_well_2_100X_2_blob_38,570.8922,89.3608,0.8984,0.9574,0.9593,si,1,27.43655,3.3467249438863065
Esferas_BT474_dia_1_well_2_100X_2_blob_39,1268.7005,139.3312,0.8212,0.6274,0.9657,si,1,40.2693,10.581658972387594
Esferas_BT474_dia_1_well_2_100X_2_blob_40,352.5963,70.0777,0.9023,0.9414,0.9497,si,1,22.02375,1.7310329136494105
Esferas_BT474_dia_1_well_2_100X_2_blob_41,1231.3179,137.8359,0.8144,0.9719,0.9454,si,1,41.238200000000006,11.36398420913874
Esferas_BT474_dia_1_well_2_100X_2_blob_42,782.2653,107.1204,0.8567,0.8003,0.9547,si,1,32.65265,5.641399029069466
Esferas_BT474_dia_1_well_2_100X_2_blob_43,403.3628,73.9206,0.9276,0.9446,0.9599,si,1,23.27125,2.042164183920052
Esferas_BT474_dia_1_well_2_100X_2_blob_44,1138.0922,128.0636,0.872,0.8028,0.9703,si,1,37.8376,8.778135191847628
Esferas_BT474_dia_1_well_2_100X_2_blob_45,1269.6236,134.5557,0.8812,0.9483,0.9654,si,1,41.2753,11.39468267980338
Esferas_BT474_dia_1_well_2_100X_2_blob_46,949.7947,116.6313,0.8774,0.8986,0.9639,si,1,36.06885,7.603760112246068
Esferas_BT474_dia_1_well_2_100X_2_blob_49,541.3553,88.2352,0.8738,0.943,0.9483,si,1,26.90035,3.1543168199806835
Esferas_BT474_dia_1_well_2_100X_2_blob_50,994.1,119.2804,0.878,0.8215,0.9599,si,1,36.31065,7.757710877754578
Esferas_BT474_dia_1_well_2_100X_2_blob_52,939.1799,115.8354,0.8796,0.9905,0.964,si,1,35.37725000000001,7.174699758236918
Esferas_BT474_dia_1_well_2_100X_2_blob_53,1154.7067,133.3619,0.8159,0.6559,0.9517,si,1,39.2279,9.781753140159434
Esferas_BT474_dia_1_well_2_100X_2_blob_54,856.1075,115.2043,0.8106,0.6707,0.9472,si,1,34.2779,6.526406826834687
Esferas_BT474_dia_1_well_2_100X_2_blob_56,1243.3173,132.7991,0.8859,0.8601,0.968,si,1,40.65595,10.88939773408748
Esferas_BT474_dia_1_well_2_100X_2_blob_58,617.505,101.2877,0.7564,0.9336,0.9237,si,1,30.07455,4.407871580522949
Esferas_BT474_dia_1_well_2_100X_2_blob_59,520.5872,84.955,0.9064,0.9501,0.9576,si,1,26.70005,3.0843790443472714
Esferas_BT474_dia_1_well_2_100X_2_blob_60,487.3582,81.6749,0.9181,0.9596,0.9617,si,1,25.47555,2.6791820606626966
Esferas_BT474_dia_1_well_2_100X_2_blob_61,1207.3192,131.0424,0.8835,0.964,0.9682,si,1,39.71065,10.14734689567994
Esferas_BT474_dia_1_well_2_100X_2_blob_62,807.6486,110.2358,0.8352,0.9356,0.9563,si,1,33.90755,6.317143644714848
Esferas_BT474_dia_1_well_2_100X_2_blob_63,683.5014,102.4133,0.8189,0.8737,0.9469,si,1,31.10695,4.8775733963584464
Esferas_BT474_dia_1_well_2_100X_2_blob_66,943.795,119.1156,0.8359,0.9098,0.9503,si,1,35.5837,7.3010417554348175
Esferas_BT474_dia_1_well_2_100X_2_blob_68,841.3391,111.1965,0.8551,0.7794,0.9517,si,1,33.2898,5.978126185551382
Esferas_BT474_dia_1_well_2_100X_2_blob_69,461.052,82.9653,0.8417,0.9182,0.9246,si,1,25.85245,2.799862091027612
Esferas_BT474_dia_1_well_2_100X_2_blob_70,1557.608,155.4307,0.8102,0.8135,0.9524,si,1,46.9605,16.781456703378172
Esferas_BT474_dia_1_well_2_100X_2_blob_71,559.8158,87.6724,0.9152,0.9565,0.9635,si,1,26.94975,3.1717265839094084
Esferas_BT474_dia_1_well_2_100X_2_blob_72,840.8775,109.275,0.8849,0.9583,0.9567,si,1,33.539500000000004,6.113659846979758
Esferas_BT474_dia_1_well_2_100X_2_blob_74,797.9568,111.3613,0.8086,0.9072,0.9466,si,1,32.868700000000004,5.754122486780269
Esferas_BT474_dia_1_well_2_100X_2_blob_75,1262.7009,140.5533,0.8032,0.7017,0.9548,si,1,41.56365,11.63516528274342
Esferas_BT474_dia_1_well_2_100X_2_blob_77,731.9604,105.9265,0.8198,0.9565,0.9357,si,1,32.2736,5.447205453703173
Esferas_BT474_dia_1_well_2_100X_2_blob_78,1881.1289,171.3653,0.805,0.7403,0.9482,si,1,52.03445,22.829921871741792
Esferas_BT474_dia_1_well_2_100X_2_blob_79,855.6460000000003,113.8456,0.8296,0.9263,0.9515,si,1,34.249399999999994,6.5101414207694255
Esferas_BT474_dia_1_well_2_100X_2_blob_80,1123.3238,127.5974,0.867,0.866,0.9621,si,1,38.6725,9.37212914166722
Esferas_BT474_dia_1_well_2_100X_2_blob_81,1392.3861,150.0924,0.7767,0.7215,0.9332,si,1,44.20915,14.001288826125602
Esferas_BT474_dia_1_well_2_100X_2_blob_82,888.4134,113.3511,0.8689,0.8487,0.9613,si,1,34.69115,6.765308576619487
Esferas_BT474_dia_1_well_2_100X_1_blob_2,562.1234,87.8373,0.9156,0.966,0.9598,si,1,27.23595,3.273852467640616
Esferas_BT474_dia_1_well_2_100X_1_blob_3,385.3637,71.9992,0.9342,0.9749,0.9625,si,1,22.46335,1.8367713282548632
Esferas_BT474_dia_1_well_2_100X_1_blob_4,478.128,82.4025,0.8849,0.8125,0.9535,si,1,25.08045,2.5564511194452093
Esferas_BT474_dia_1_well_2_100X_1_blob_5,493.8194,82.6356,0.9087,0.9021,0.9571,si,1,25.53065,2.6966037590192182
Esferas_BT474_dia_1_well_2_100X_1_blob_6,702.4235,100.7932,0.8689,0.7168,0.9593,si,1,30.5513,4.620836523502327
Esferas_BT474_dia_1_well_2_100X_1_blob_7,886.5674,124.1524,0.7228,0.5442,0.9017,si,1,35.54135,7.275004726923032
Esferas_BT474_dia_1_well_2_100X_1_blob_8,354.9039,69.2818,0.9291,0.9844,0.9571,si,1,21.78025,1.6742492038201116
Esferas_BT474_dia_1_well_2_100X_1_blob_9,632.2735,95.1935,0.8768,0.7582,0.959,si,1,28.8393,3.8867415605924176
Esferas_BT474_dia_1_well_2_100X_1_blob_11,431.9766,77.9967,0.8923,0.8931,0.9488,si,1,24.32965,2.3336681761698275
Esferas_BT474_dia_1_well_2_100X_1_blob_12,515.9721,86.2455,0.8717,0.9449,0.9471,si,1,26.57435,3.0410213677903903
Esferas_BT474_dia_1_well_2_100X_1_blob_13,444.4375,79.9865,0.8729,0.9224,0.9441,si,1,24.77875,2.4652995804275144
Esferas_BT474_dia_1_well_2_100X_1_blob_15,639.1962,98.0758,0.8351,0.684,0.9473,si,1,28.681850000000004,3.82342874125565
Esferas_BT474_dia_1_well_2_100X_1_blob_16,426.4384,77.036,0.903,0.9615,0.9541,si,1,23.9132,2.215871686216464
